id,name,date_created,active,creator_id,is_public,prep_time,instructions,photo_link,cookbook,cookbook_page_number,web_link,category_id,type_id
41,"Spicy Singapore Wings",2019-11-20,1,1,1,120,"If using wings; remove and discard tips; cut wings into 2 pieces at the joint. Broil chicken 20 to 25 minutes; or deep fat fry at 375 degrees for 10 to 12 minutes. Combine remaining ingredients. Brush sauce on wings or drummettes to coat evenly. Makes 14 to 20 hot appetizers.",https://www.spendwithpennies.com/wp-content/uploads/2014/01/SpendWithPennies-Honey-Garlic-Wings-23.jpg,,,,2,2
42,"Baked Zucchini with Mushrooms",2019-11-20,1,1,1,25,"Thinly sliced mushrooms and chop onion; combine in a 10 to 12 inch frying pan with half a cup of water. Stir often on high heat until liquid evaporates and browned bits stick to pan. To deglaze pan; add 1 third cup of broth and stir browned bits free. Repeat deglazing step until onion is golden brown; 2 or 3 more times; using 1 third cup broth each time. Beat eggs to blend; stir in zucchini crumbs; cheese; oregano; pepper; and mushroom mixture. Pour into a buttered 10 by 12 inch shallow oval casserole (or a 9 by 13 inch rectangle). Bake in a 325 degree oven until set in center when shaken; about 45 minutes top with green onions.",https://jenniferbanz.com/wp-content/uploads/2018/03/One-pan-Chicken-and-Veggies-2.jpg,,,,4,6
43,"Bit O' Zucchini Bites",2019-11-20,1,1,1,25,"In a large skillet cook onion and garlic in butter or margarine until onion is tender but not brown. Add zucchini and stir about 2 minutes or till crisp-tender. Remove from heat. In a bowl mix eggs; cheese; cornmeal; cumin; oregano; and zucchini mixture. Spoon a scant 2 tablespoons of the egg mixture into individual greased 1 and 3 quarter inch muffin pans. Bake at 325 degrees for 15 to eighteen minutes or until set. Remove from pans. Or; pour all the batter into a greased 8 by 8 by 2 inch baking pan. Bake for 20 to 25 minutes or until set. Cut in bite size squares. Serve hot. Makes about 24 appetizers.",https://www.skinnytaste.com/wp-content/uploads/2014/06/Skinnytaste-Zucchini-Tots-550x778.jpg,,,,6,4
44,"Cheesy Spinach Bake",2019-11-20,1,1,1,40,"Combine. Pour into 1 quart dish. Bake at 375 degrees for 25 minutes.",https://k8643br9gv-flywheel.netdna-ssl.com/wp-content/uploads/2013/10/spinach-mozzarella-egg-bake-8-kalynskitchen-1-600x899.jpg,,,,5,6
45,"Crisp Potato Pancakes",2019-11-20,1,1,1,15,"Grate potatoes coarsely. Grate onion. Season with slat and pepper. Add bea10 egg. Form in 2 inch patties. Fry in 1/4 inch of hot oil. Serve with poached egg and salsa or sour cream and chives.",https://www.daringgourmet.com/wp-content/uploads/2017/10/Kartoffelpuffer-11.jpg,,,,1,1
46,"Easy Oven Baked Potatoes",2019-11-20,1,1,1,60,"Cut potatoes and onions into 1/4 inch slices. Layer in baking dish. Combine remaining ingredients. Drizzle over top. Bake at 350 degrees for 40 minutes covered. Uncover and bake 20 minutes more. Makes 8 servings.",https://www.spendwithpennies.com/wp-content/uploads/2015/03/SpendWithPennies-Oven-Roasted-Potatoes-22.jpg,,,,3,6
47,"Green Beans Salerno",2019-11-20,1,1,1,17,"Combine salad oil; vinegar and spaghetti sauce mix. Pour over drained beans. Chill. Before serving; toss beans with shredded lettuce and crumbled bacon.",https://jovinacooksitalian.files.wordpress.com/2014/11/three-bean-pasta-e-fagioli.jpg?w=540,,,,4,2
48,"Mushrooms in Sour Cream",2019-11-20,1,1,1,15,"In skillet; fry bacon until crisp. Drain on paper towel. Add onion and mushrooms. Saute 10 minutes on low heat. Stir in flour. Add cream and worcestershire sauce. Cook on low; stirring constantly. Spoon over toast. Sprinkle bacon on top.",https://shewearsmanyhats.com/wp-content/uploads/2018/10/chicken-breasts-with-creamy-mushroom-sauce-recipe-2.jpg,,,,8,4
49,"Orange Sweet Potatoes",2019-11-20,1,1,1,30,"Peel and cut potatoes into 1/2 inch slices. Put potatoes in a large pot of water; butter and sugar. Boil to fork tender. Do not overcook. Save liquid. Gently remove potatoes and layer in a 9x13 inch baking dish. Top with orange slices. Cook liquid down until syrupy. Pour over potatoes. Sprinkle with cinnamon. Bake at 350 degrees for 30 to 40 minutes;",https://www.dinneratthezoo.com/wp-content/uploads/2018/09/roasted-sweet-potatoes-1.jpg,,,,7,4
50,"Saute Zucchini",2019-11-20,1,1,1,10,"Melt butter in skillet. Slice zucchini thin; Add garlic. Cover and simmer for 5 minutes. Sprinkle with parmesan cheese. Cover and cook 5 minutes longer.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-190618-saute-ed-zucchini-015-landscape-pf-1561759338.png,,,,1,3
51,"Stuffed Zucchini",2019-11-20,1,1,1,15,"Cook zucchini to fork tender. Slice lengthwise. Remove center pulp to bowl. Brown hambugrer or sausage with chopped onion. Mix with pulp. Add croutons that have been sof10ed in water boullion cube. Add spices to taste. Stir in 2 eggs. Mixture will be quite soft. Spoon into zucchini shells. Sprinkle with parmesan and melted butter or olive oil. Bake 1/2 hour at 350 degrees until filling is set.",https://www.fifteenspatulas.com/wp-content/uploads/2012/09/Sausage-Stuffed-Zucchini-Fifteen-Spatulas-1-640x959.jpg,,,,1,4
52,"Summer Squash",2019-11-20,1,1,1,20,"Boil squash until tender. Mash with butter; salt; pepper; worcestershire sauce; 2 eggs; cracker crumbs; onion and parmesan cheese. Put in casserole; top with paprika and bacon bits. Bake about 30 minutes.",https://sparkpeo.hs.llnwd.net/e1/resize/630m620/e2/guid/Roasted-Zucchini-and-Yellow-(Summer)-Squash/1e0dc5d2-0f2b-400e-9855-29518177a9fa.jpg,,,,1,4
53,"Sweet and Sour Red Cabbage",2019-11-20,1,1,1,15,"Heat oil in skillet. add cabbage and apple. Combine rest of ingredients; pour over cabbage; Cover tightly. Cook over low heat; sit occasionally for 15-20 minutes; until tender.",https://www.simplyrecipes.com/wp-content/uploads/2006/09/german-red-cabbage-horiz-b-1600.jpg,,,,1,4
54,"Three Cheese Spinach",2019-11-20,1,1,1,20,"Combine onions and mushrooms in small microwave-safe bowl. Microwave 1 to 3 minutes or until onions are soft. Place spinach in 1.5 quart microwave-safe casserole. Cover and microwave 6 to 9 minutes; breaking up and rearranging every 3 minutes; until defrosted. Drain well. Add onion mixture to spinach; along with cottage cheese; parmesan cheese; eggs; salt and pepper. Stir well to blend. Microwave; uncovered; 8 to 11 minutes; rotating dish if necessary every 3 minutes; until misture is headted through and set. Sprinkle grated cheese over top and dust lightly with paprika. Microwave about 1 minute longer to melt cheese. Let stand 3 minutes before serving. Yields 6 to 8 servings.",https://www.verywellfit.com/thmb/1xD-GOWXNQaLmLlAOb8-zVT6q-s=/768x0/filters:no_upscale():max_bytes(150000):strip_icc()/spinachcasserole14-56a5c2cb5f9b58b7d0de5afb.jpg,,,,7,6
55,"Tulelake Potato Casserole",2019-11-20,1,1,1,30,"Thaw potatoes. Mix first 8 ingredients. Put in 9",https://www.tasteofhome.com/wp-content/uploads/2018/02/Ranch-Potato-Casserole_exps2984_CAS2375015A09_08_2bC_RMS-2-696x696.jpg,,,,1,6
56,"Zucchini Patties",2019-11-20,1,1,1,25,"Courslet shred zucchini into a bowl. Press out water. Add rest of ingredients; except oil. Heat oil in skillet. Drop mixture by spoonfuls. Brown on both sides. May also be topped with spaghetti sauce.",https://lifemadesweeter.com/wp-content/uploads/Keto-Zucchini-Fritters-Low-Carb-Recipe-Photo-Picture.jpg,,,,4,4
57,"Artichoke-Mozzarella Casserole",2019-11-20,1,1,1,45,"Heat the olive oil in a small frying pand and saute the onion; garlic; parsley and oregano in it until the onions are soften well. Beat the eggs and stir in the sauteed mixture; the artichoke hearts; bread crumbs; cheese; and salt. Add a dash of hot pepper liquid and stir to mix well. Preheat oven to 350 degrees. Turn into a lightly greased 9-inch square baking dish and bake for about 1/2 hour; or until set. Serves 4 to 6.",https://ketocookingchristian.com/wp-content/uploads/2019/04/IMG_6162-1.jpg,,,,7,6
58,"Asparagus Tomato Quiche",2019-11-20,1,1,1,45,"Preheat oven to 375 degrees. Beat eggs with next 4 ingredients; stir in cheese. Saving 6 asparagus spears for the top; chop the rest into 1",https://www.incredibleegg.org/wp-content/uploads/asparagus-tomato-quiche-930x550.jpg,,,,5,6
59,"Beef Enchiladas",2019-11-20,1,1,1,25,"Saute beef with garlic; salt; vinegar; water; and chili powder. Stir in beans. Set aside. In hot oil in skillet saute garlic and onion until golden. Remove from heat; stir in flour; tomato sauce; vinegar; and hot bouillon. Bring to boil. Add chili powder; salt and pepper. Simmer 5 min. Preheat oven to 350 degrees. Place 1/3 cup filling in center of each tortilla which has been dipped in hot oil or sauce. Roll up; arrange seam down in baking dish. Pour sauce over all. Sprinkle with cheese. Bake about 25 minutes.",https://thecookinchicks.com/wp-content/uploads/2018/04/DSC_0538.jpg,,,,6,3
60,"Broccoli and Rice Casserole",2019-11-20,1,1,1,45,"Cook rice and put in buttered casserole. Boil broccoli according to instructions on the package. Brown onions and celery in butter; add cooked broccoli and soup together. Pour over rice; top with cheese. Can use grated cheddar if you choose. Dot with butter. Put in oven until heated about 10 to 15 minutes at 350 degrees. Can be made ahead of time and frozen. hen frozen; allow to thaw completely then heat about 10 minutes longer.",https://www.thecookierookie.com/wp-content/uploads/2012/11/broccoli-rice-casserole-green-rice-casserole-5-of-9.jpg,,,,5,6
61,"Chili Cheese Puff",2019-11-20,1,1,1,55,"Preheat oven to 350 degrees. In medium size bowl beat eggs until light and lemon colored. Add flour; baking powder; salt; cottage cheese; and jack cheese. Blend until smooth. Stir in chiles. Pour into buttered 9",https://img.buzzfeed.com/video-api-prod/assets/5423b4c783114100b56580b6723f4a4e/BFV21737_ChiliCheeseDogBoats-ThumbA1080.jpg,,,,6,2
62,"Crazy Crust Pizza",2019-11-20,1,1,1,45,"Mix well. Pour into greased and floured pan. Top with 1.5 pounds browned ground beef or sausage; and pepperoni. Add 1 can drained slice mushrooms over top. Bake at 375 degrees for 10 minutes. Add pizza sauce; cheese; etc. Bake 20 minutes more.",https://3.bp.blogspot.com/-Xh-BzpU6jG0/W8c5uIds4-I/AAAAAAADZO8/8F1eK_bTfq86YysDs9zlQOwj02LtX3MdgCLcBGAs/s1600/crazy%2Bcrust%2Bpizza%2Bfont.jpg,,,,3,6
63,"Impossible Taco Pie",2019-11-20,1,1,1,35,"Heat oven to 400 degrees. Grease pie plate; 10 x 1.5”. Cook and stir beef and onion until brown. Beat milk; baking mix and eggs until smoth; 15 seconds in blender on high or 1 minute with hand beater. Pour into plate. Bake 25 minutes. Top with tomatoes and cheese. Bake until knife inserted between center and edge comes out clean; 8 to 10 minutes. Cool 5 minutes. Top with sour cream; tomatoes; lettuce and cheese if desired. Serves 6 to 8.",https://images-gmi-pmc.edge-generalmills.com/199b087b-9929-4809-ae9b-27da07493871.jpg,,,,6,3
64,"Pasta Primavera",2019-11-20,1,1,1,30,"For pesto; in a blender container or food processor bowl. Place fresh basil or parsley; red or green pepper; mayonnaise; parmesan cheese; lemon juice; salt; red pepper and black pepper. Cover; blend or process till pureed. Set aside. In a large amount of boiling salted water cook pasta for 6 minutes. Add carrots and onion. Return to boiling, Drain pasta and vegetables; return to saucepan. Stir in pesto; add chicken to turkey. Toss well to combine. Cook over very low heat for 2 minutes or until heated through; tossing occasionally. Serve immediately. Makes 4 servings.",https://www.cookingclassy.com/wp-content/uploads/2018/09/pasta-primavera-1.jpg,,,,4,2
65,"Sour Cream Enchiladas",2019-11-20,1,1,1,45,"Blend sour cream; onions; cumin; and cheese. Heat tortillas in oil to make them flexible. Put small amount of sauce in bottom of baking dish. Roll filling in tortillas. Place in pan. Put remained of sauce over top. Top with cheese. Bake at 375 degrees for 20 minutes. Make 6 servings. This recipe also works well for chicken enchiladas. Just add two cooked chicken breasts; cut into bite-size pieces.",http://www.dvo.com/newsletter/monthly/2015/may/images/SourCreamEnchiladas.jpg,,,,6,3
66,"Spinach Fritatta",2019-11-20,1,1,1,45,"Wash spinach. Cover and steam 3 to 4 minutes; just until wilted. refresh under cold water; drain and squeeze out all moisture. Chop to 3/4 cup. Set aside. Fry bacon and crumble; set aside. Saute spinach; green onions; garlic; and basil in bacon drippings until soft and tender. Add salt and pepper. Beat eggs with water until frothy; pour over vegetables in skillet. Sprinkle bacon on top. Cook on medium heat until eggs are set. Lift edges of set portion and let uncooked egg flow beneath. Cook until done; about 7 to 8 minutes. Sprinkle with cheese. Place under broiler 2 or 3 minutes until eggs are completely set and cheese is bubbly. Serve with salsa.",https://www.simplyrecipes.com/wp-content/uploads/2006/01/spinach-frittata-horiz-a2-1800.jpg,,,,4,6
67,"Stuffed Green Peppers",2019-11-20,1,1,1,80,"Parboil peppers. Mix all the above. Fill peppers. Place in casserole. Pour tomato sauce over top. Bake 1 hour at 350 degrees.",https://hips.hearstapps.com/hmg-prod/images/delish-classic-stuffed-peppers-horizontal-1538065876.jpg,,,,6,6
68,"Wild Mushroom and Spinach Lasanga",2019-11-20,1,1,1,90,"Cook lasagna noodles according to package intsructions; set aside. Place oil in large; heavy skillet over medium heat. Add garlic and shallots; cook about 5 minutes; until soft. Add mushrooms; cook until liquid is evaporated; about 10 minutes. With slotted spoon; transfer to a large bowl and reserve. Melt butter in skillet; blen in flour and cook for 2 minutes; sturring constantly. Gradually whisk in milk; bring to a simmer. Cook; stirring; until sauce thickens; about 5 minutes. Stir in gorgonzola; 1/2 up parmesan and the tomato paste. Continue cooking and stirring until the cheese is melted. Stir half the mushrooms misture into sauce. Add salt and pepper to taste. remove from heat; reserve. In large mixing bowl; combine spinach; ricotta; 3/4 cup parmesan; eggs; basil; nutmeg; salt and pepper to taste with remaining mushrooms mushroom mixture; stir to blend. (Both sauce and filling can be made a day in advance; covered tightly and refrigerated; reheat before assembling lasagna.) Preheat oven to 375 degrees. Spread a thin layer of sauce on bottom of 2-quart casserole or deep baking dish. Place layer of noodles over sauce. Spoon layer of spinach/mushroom filling over noodles and top with sauce. Repeat layers; ending with noodles and thin layer of sauce. Sprinkle remaining 1/4 cup parmesan over top. Bake about 35 to 40 minutes or until browned and bubbly. If top browns before sauce is bubbly; cover loosely with aluminum foil. Yields 6 to 8 servings.",https://www.littlebroken.com/wp-content/uploads/2017/04/Chicken-Mushroom-and-Spinach-Lasagna-17.jpg,,,,4,6
69,"Big Steak Omelette",2019-11-20,1,1,1,25,"Season the flank steak and grill until medium. .Let it cool and cut into thick slices Over medium high heat, melt butter and add shredded hash browns Season hash browns with salt, pepper, cayenne and paprika. Stir until the hash browns are cooked, about 5 minutes. Remove and set aside In the same pan, saute mushrooms until they cook down, about 2 minutes Remove and set aside Season the egg with salt and pepper to taste and mix with diced green peppers and sweet onions Over medium heat, grease a skillet and pour in the egg mixture Cook until the bottom and edges are solid Add 2/3 of the steak, hash browns, 2/3 of the mushrooms, 1/2 cup Cheddar cheese and 2/3 the tomatoes to one side of the omelette Fold the omelette and continue cooking until the cheese melts Dish and top with leftover steak, mushrooms and tomatoes",https://thecookingjar.com/wp-content/uploads/2014/08/big-steak-omelette-11.jpg,,,,3,1
70,"Good Old Fashioned Pancakes",2019-11-20,1,1,1,15,"In a large bowl, sift together the flour, baking powder, salt and sugar. Make a well in the center and pour in the milk, egg and melted butter; mix until smooth. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot.",https://images.media-allrecipes.com/userphotos/560x315/4948036.jpg,,,,3,1
